No.,Date,Sub Genre,CollectionName,No.,SongDate,Artist Name,Song Name,Sub Genre 1,Sub Genre 2,YouTube URL,Memo,Tagline,Bot Name,,,,,,,,
1,2016-11-29,Pop/Soft Rock,Celebrate Life,1,2016-11-29,U2,The Miracle (Of Joey Ramone),Classic/Hard Rock,,https://www.youtube.com/watch?v=Yi52HjJbwVQ&index=10&list=PLEsW0I4D4LQZBv9sD6ehHcyy6LQiJqIb-,Good,IN THIS SPACE AND TIME,HearToday,,,,,,,,
1,2016-11-29,Pop/Soft Rock,Celebrate Life,2,2016-11-29,Coldplay,Viva La Vida,Pop/Soft Rock,,https://www.youtube.com/watch?v=dvgZkm1xWPE,Good,WHEN I RULED THE WORLD,HearToday,,,,,,,,
1,2016-11-29,Pop/Soft Rock,Celebrate Life,3,2016-11-30,Robbie Williams,Love My Life,Pop/Soft Rock,,https://www.youtube.com/watch?v=j4ggyO-OFXU,Good,TETHER YOUR SOUL TO ME,HearToday,,,,,,,,
1,2016-11-29,Pop/Soft Rock,Celebrate Life,4,2016-11-30,Keane,Somewhere Only We Know,Pop/Soft Rock,,https://www.youtube.com/watch?v=Oextk-If8HQ,Good,TELL ME WHEN YOU'RE GONNA LET ME IN,HearToday,,,,,,,,
1,2016-11-29,Pop/Soft Rock,Celebrate Life,5,2016-12-01,Weezer,Island in the Sun,Alt/Indie,,https://www.youtube.com/watch?v=erG5rgNYSdk,Good,WE'LL NEVER FEEL BAD ANYMORE,HearToday,,,,,,,,
1,2016-11-29,Pop/Soft Rock,Celebrate Life,6,2016-12-01,Andy Grammer,Good To Be Alive,Dance Pop,,https://www.youtube.com/watch?v=YDu93pdyBDE,Good,FINALLY FOUND MY HALLELUJAH,HearToday,,,,,,,,
2,2016-11-29,Alt/Indie,Perfection,7,2016-11-30,Temper Trap,Sweet Disposition,Dance Rock,,https://www.youtube.com/watch?v=jxKjOOR9sPU,Good,DON'T STOP 'TILL IT'S OVER,Snickolas,,,,,,,,
2,2016-11-29,Alt/Indie,Perfection,8,2016-11-30,Lana Del Rey,Young and Beautiful,Classic Pop,,https://www.youtube.com/watch?v=o_1aF54DO60,Good,HAD MY CAKE,Snickolas,,,,,,,,
2,2016-11-29,Alt/Indie,Perfection,9,2016-11-30,Smashing Pumpkins,Perfect,Alt/Indie,,https://www.youtube.com/watch?v=VKYY8DxVZHE,Good,LOVER'S OUT OF TIME,Snickolas,,,,,,,,
2,2016-11-29,Alt/Indie,Perfection,10,2016-11-30,The Chain Smokers,Roses,Synth Pop,,https://www.youtube.com/watch?v=G5Mv2iV0wkU,Good,WE COULD BE BEAUTIFUL,Snickolas,,,,,,,,
2,2016-11-29,Alt/Indie,Perfection,11,2016-12-01,Her Magic Wand,Everything At Once,Synth Pop,,https://www.youtube.com/watch?v=SoV4Y01jR54,Good,HOW DO YOU FEEL?,Snickolas,,,,,,,,
2,2016-11-29,Alt/Indie,Perfection,12,2016-12-01,Winter,Pretender,New Wave/Ethereal,,https://www.youtube.com/watch?v=OZHekl6klRs,Good,"FAKING MY WISHES, CASTING A SPELL",Snickolas,,,,,,,,
3,2016-11-29,Dance Rock,Persevere,13,2016-12-01,Foster The People,Helena Beat,Dance Rock,,https://www.youtube.com/watch?v=ABzh6hTYpb8,Good,SOMETIMES LIFE TAKES YOU BY THE HAND,DennisL23,,,,,,,,
3,2016-11-29,Dance Rock,Persevere,14,2016-12-01,Fun,Some Nights,Pop/Soft Rock,,https://www.youtube.com/watch?v=qQkBeOisNM0,Good,THIS IS WAR,DennisL23,,,,,,,,
3,2016-11-29,Dance Rock,Persevere,15,2016-11-30,Broken Bells,Holding On For Life,Dance Rock,,https://www.youtube.com/watch?v=uhBewKu80Mg,Good,LET ME BUY AN HOUR,DennisL23,,,,,,,,
3,2016-11-29,Dance Rock,Persevere,16,2016-11-30,All American Rejects,Move Along,Alt/Indie,,https://www.youtube.com/watch?v=XleOkGsYgO8,Good,YOUR HANDS ARE MINE TO HOLD,DennisL23,,,,,,,,
3,2016-11-29,Dance Rock,Persevere,17,2016-12-01,Teleman,Dusseldorf,Dance Rock,,https://www.youtube.com/watch?v=QN7YA4FO7TY,Good,LOVE FOR THE 5 STAR LIFE,DennisL23,,,,,,,,
3,2016-11-29,Dance Rock,Persevere,18,2016-12-01,Melody Gardot,Preacherman,Blues,,https://www.youtube.com/watch?v=gOwoE8XtPFU,Good,ONE BY ONE WE TUMBLE,DennisL23,,,,,,,,
4,2016-11-30,Dance Rock,Imperfect,19,2016-11-29,Bastille,Good Grief,Dance Rock,,https://www.youtube.com/watch?v=ZWCB3hpJDXM,Good,DANCING AT A FUNERAL,ChicagoForever,,,,,,,,
4,2016-11-30,Dance Rock,Imperfect,20,2016-11-29,Lumineers,Ophelia,Folk,,https://www.youtube.com/watch?v=pTOC_q0NLTk,Good,HEAVEN HELP A FOOL WHO FALLS IN LOVE,ChicagoForever,,,,,,,,
4,2016-11-30,Dance Rock,Imperfect,21,2016-12-01,Cage the Elephant,Trouble,Classic/Hard Rock,,https://www.youtube.com/watch?v=lA-gGl6qihQ,Good,CASTING SHADOWS,ChicagoForever,,,,,,,,
4,2016-11-30,Dance Rock,Imperfect,22,2016-12-01,Empire of the Sun,High and Low,Dance Rock,,https://www.youtube.com/watch?v=ntlpTad3PLM,Good, WHERE THE LATE NIGHTS LAST FOREVER,ChicagoForever,,,,,,,,
4,2016-11-30,Dance Rock,Imperfect,23,2016-12-01,Band of Skulls,I know what I am,Classic/Hard Rock,,https://www.youtube.com/watch?v=kfwvpyrAW60,Good,THE WIT THAT THE ENEMIES LACK,ChicagoForever,,,,,,,,
4,2016-11-30,Dance Rock,Imperfect,24,2016-12-01,Coin,Talk Too Much,Dance Rock,,https://www.youtube.com/watch?v=KWxM_zLJGsU,Good,BLAME IT ALL ON HUMAN NATURE,ChicagoForever,,,,,,,,
5,2016-11-30,Alt/Indie,Memory,25,2016-11-29,Arcade Fire,The Suburbs,Classic/Hard Rock,,https://www.youtube.com/watch?v=5Euj9f3gdyM,Good,I'M MOVING PAST THE FEELING,RonaldinhoFan,,,,,,,,
